name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.email_templates\` has a foreign key \`email_templates_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""email_templates"",""type"":""table"",""schema"":""public"",""fkey_name"":""email_templates_created_by_fkey"",""fkey_columns"":[10]}",unindexed_foreign_keys_public_email_templates_email_templates_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.feature_flags\` has a foreign key \`feature_flags_updated_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""feature_flags"",""type"":""table"",""schema"":""public"",""fkey_name"":""feature_flags_updated_by_fkey"",""fkey_columns"":[13]}",unindexed_foreign_keys_public_feature_flags_feature_flags_updated_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.meeting_organization_settings\` has a foreign key \`meeting_organization_settings_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""meeting_organization_settings"",""type"":""table"",""schema"":""public"",""fkey_name"":""meeting_organization_settings_user_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_meeting_organization_settings_meeting_organization_settings_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.meeting_payment_transactions\` has a foreign key \`meeting_payment_transactions_booking_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""meeting_payment_transactions"",""type"":""table"",""schema"":""public"",""fkey_name"":""meeting_payment_transactions_booking_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_meeting_payment_transactions_meeting_payment_transactions_booking_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.meeting_team_availability\` has a foreign key \`meeting_team_availability_meeting_type_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""meeting_team_availability"",""type"":""table"",""schema"":""public"",""fkey_name"":""meeting_team_availability_meeting_type_id_fkey"",""fkey_columns"":[4]}",unindexed_foreign_keys_public_meeting_team_availability_meeting_team_availability_meeting_type_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.meeting_team_availability\` has a foreign key \`meeting_team_availability_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""meeting_team_availability"",""type"":""table"",""schema"":""public"",""fkey_name"":""meeting_team_availability_user_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_meeting_team_availability_meeting_team_availability_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.meeting_video_links\` has a foreign key \`meeting_video_links_booking_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""meeting_video_links"",""type"":""table"",""schema"":""public"",""fkey_name"":""meeting_video_links_booking_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_meeting_video_links_meeting_video_links_booking_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.meeting_workflow_templates\` has a foreign key \`meeting_workflow_templates_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""meeting_workflow_templates"",""type"":""table"",""schema"":""public"",""fkey_name"":""meeting_workflow_templates_created_by_fkey"",""fkey_columns"":[11]}",unindexed_foreign_keys_public_meeting_workflow_templates_meeting_workflow_templates_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.payment_history\` has a foreign key \`payment_history_subscription_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""payment_history"",""type"":""table"",""schema"":""public"",""fkey_name"":""payment_history_subscription_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_payment_history_payment_history_subscription_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.security_events\` has a foreign key \`security_events_resolved_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""security_events"",""type"":""table"",""schema"":""public"",""fkey_name"":""security_events_resolved_by_fkey"",""fkey_columns"":[12]}",unindexed_foreign_keys_public_security_events_security_events_resolved_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_advanced_protection_events\` has a foreign key \`send_advanced_protection_events_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_advanced_protection_events"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_advanced_protection_events_document_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_send_advanced_protection_events_send_advanced_protection_events_document_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_branding_assets\` has a foreign key \`send_branding_assets_uploaded_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_branding_assets"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_branding_assets_uploaded_by_fkey"",""fkey_columns"":[9]}",unindexed_foreign_keys_public_send_branding_assets_send_branding_assets_uploaded_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_branding_templates\` has a foreign key \`send_branding_templates_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_branding_templates"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_branding_templates_created_by_fkey"",""fkey_columns"":[16]}",unindexed_foreign_keys_public_send_branding_templates_send_branding_templates_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_collaborator_upload_permissions\` has a foreign key \`send_collaborator_upload_permissions_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_collaborator_upload_permissions"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_collaborator_upload_permissions_created_by_fkey"",""fkey_columns"":[10]}",unindexed_foreign_keys_public_send_collaborator_upload_permissions_send_collaborator_upload_permissions_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_conversation_messages\` has a foreign key \`send_conversation_messages_conversation_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_conversation_messages"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_conversation_messages_conversation_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_send_conversation_messages_send_conversation_messages_conversation_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_conversation_messages\` has a foreign key \`send_conversation_messages_participant_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_conversation_messages"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_conversation_messages_participant_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_send_conversation_messages_send_conversation_messages_participant_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_conversation_messages\` has a foreign key \`send_conversation_messages_reply_to_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_conversation_messages"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_conversation_messages_reply_to_id_fkey"",""fkey_columns"":[6]}",unindexed_foreign_keys_public_send_conversation_messages_send_conversation_messages_reply_to_id_fkey
